version,source,result
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/53_Gv05-Info_point.svg,81
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/54_Gv05-Not_allowed.svg,96
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/55_Gv05-Messaging_oneway.svg,70
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/56_Gv05-Messaging_twoways.svg,89
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/57_Gv05-Information.svg,90
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/58_Gv05-North_sign.svg,81
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/60_Gv05-Flagged_point.svg,65
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/61_Gv05b-Wifi.svg,62
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/62_Gv05b-@_internet.svg,90
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/65_Gv05-Radio_transmission.svg,54
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/67_Gv05-Contain_message.svg,76
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/68_Gv05-Warning_strip_1.svg,22
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/69_Gv05-Warning_strip_2.svg,74
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/71_Gv05-Arrow_ahead.svg,70
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/72_Gv05-Arrow_turn.svg,85
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/73_Gv05-Arrow_backward.svg,93
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/91_Gv05-Two_way_horizontal.svg,66
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/92_Gv05-Two_way_vertical.svg,70
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/96_Gv05-Contain_directional.svg,72
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/97_Gv05-Contain_hexagon.svg,22
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/03_v10_Assembly_point.svg,72
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/05_v10_Assembly_group.svg,41
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/07_v10_Authority_instruction.svg,70
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/09_v10_Drop_hold_cover.svg,77
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/10_v10_Evacuate.svg,73
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/13_v10_Evacuate_shelter.svg,58
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/14_v10_Exit.svg,74
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/16_v10_Water.svg,94
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/17_v10_Structural_fire.svg,75
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/19_v10_Evacuate_fire.svg,70
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/20_v10_Alarm.svg,76
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/21_v10_Warning_tsunami.svg,64
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/22_v10_Warning_evacuation_way.svg,46
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/23_v10_Warning_volcano.svg,71
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/40_v10_Charge_plug.svg,87
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/55_v10_Fire.svg,96
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/56_v10_Emergency_vehicle.svg,74
v10,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v10_2018/main/svg/57_v10_North.svg,91
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/01_Man_v15.svg,71
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/02_Woman_v15.svg,47
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/05_Group_meeting_v15.svg,65
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/06_Authority_instruction_v15.svg,79
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/07_Evacuate_to_shelter_v15.svg,44
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/09_Emergency_exit_v15.svg,79
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/10_Drop_cover_hold_v15.svg,85
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/11_Evacuate_vertical_v15.svg,71
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/12_Evacuate_downstairs_v15.svg,76
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/14_Use_gloves_v15.svg,65
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/15_Use_mask_v15.svg,55
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/16_Sneeze_in_elbow_v15.svg,83
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/17_Temperature_v15.svg,90
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/18_Wash_hands_v15.svg,99
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/19_Disinfectant_v15.svg,87
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/20_Keep_distance_v15.svg,79
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/23_Evacuate_fire_v15.svg,84
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/26_Warning_tsunami_v15.svg,71
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/29_Flagged_bdg_v15.svg,44
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/31_Lockdown_v15.svg,50
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/32_Shelter_v15.svg,59
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/33_Quarantine_v15.svg,46
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/37_Time_v15.svg,73
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/49_Landslide_v15.svg,84
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/50_Flood_v15.svg,58
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/52_Hurricane_v15.svg,20
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/55_Authority_v15.svg,57
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/56_Meeting_point_v15.svg,70
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/65_Help_others_v15.svg,81
v15,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v15_2020/main/svg/66_Wipeout_v15.svg,55
